latitude,longitude,booking_time,pickup_time,status,app,test
0,0,2012-12-31 11:39,2013-01-01 00:26,complete,false,true
0,0,2012-12-31 15:38,2013-01-01 03:00,complete,false,false
0,0,2013-01-01 03:11,2013-01-01 08:10,cancelled,false,false
0,0,2013-01-01 04:10,2013-01-01 10:00,complete,false,false
0,0,2013-01-01 03:57,2013-01-01 08:55,complete,false,false
0,0,2013-01-01 03:55,2013-01-01 08:53,complete,false,false
0,0,2013-01-01 04:30,2013-01-01 09:28,cancelled,false,false
0,0,2013-01-01 04:47,2013-01-01 09:46,complete,false,false
0,0,2013-01-01 05:34,2013-01-01 11:00,cancelled,false,false
0,0,2013-01-01 06:53,2013-01-01 11:52,complete,false,false
0,0,2013-01-01 06:55,2013-01-01 12:00,complete,false,false
0,0,2013-01-02 10:10,2013-01-02 15:10,cancelled,false,true
0,0,2013-01-02 10:12,2013-01-02 15:12,complete,false,true
0,0,2013-01-02 17:39,2013-01-02 23:45,complete,false,false
0,0,2013-01-03 00:16,2013-01-03 05:16,complete,false,false
0,0,2013-01-05 00:07,2013-01-05 05:02,complete,false,false
0,0,2013-01-05 14:03,2013-01-06 13:00,complete,false,false
0,0,2013-01-05 22:03,2013-01-06 03:01,cancelled,false,false
0,0,2013-01-05 23:16,2013-01-06 04:16,complete,false,true
0,0,2013-01-06 03:55,2013-01-06 10:30,complete,false,false
0,0,2013-01-08 11:34,2013-01-08 16:35,complete,false,false
0,0,2013-01-08 21:55,2013-01-09 10:30,complete,false,false
0,0,2013-01-09 03:58,2013-01-09 08:58,complete,false,false
0,0,2013-01-09 06:25,2013-01-09 11:45,cancelled,false,false
0,0,2013-01-09 13:27,2013-01-09 18:21,cancelled,false,false
0,0,2013-01-09 18:30,2013-01-09 23:30,complete,false,false
0,0,2013-01-10 08:38,2013-01-10 13:38,complete,false,false
0,0,2013-01-10 16:06,2013-01-10 21:10,complete,false,false
0,0,2013-01-10 19:36,2013-01-11 15:00,complete,false,false
0,0,2013-01-11 10:55,2013-01-11 19:45,complete,false,false
0,0,2013-01-11 12:16,2013-01-11 18:40,complete,false,false
0,0,2013-01-11 12:20,2013-01-11 17:45,cancelled,false,false
0,0,2013-01-11 12:12,2013-01-11 17:11,complete,false,false
0,0,2013-01-13 13:58,2013-01-13 23:00,complete,false,false
0,0,2013-01-13 15:13,2013-01-13 20:14,complete,false,false
0,0,2013-01-13 19:37,2013-01-14 10:45,complete,false,false
0,0,2013-01-14 10:04,2013-01-14 15:04,cancelled,false,false
0,0,2013-01-14 10:00,2013-01-14 14:59,complete,false,false
0,0,2013-01-14 10:53,2013-01-14 15:52,cancelled,false,false
0,0,2013-01-14 15:09,2013-01-14 20:08,cancelled,false,false
0,0,2013-01-15 12:39,2013-01-15 17:40,complete,false,false
0,0,2013-01-17 18:16,2013-01-17 23:15,cancelled,false,true
0,0,2013-01-18 00:11,2013-01-18 05:00,complete,false,false
0,0,2013-01-18 02:48,2013-01-18 07:48,complete,false,false
0,0,2013-01-18 09:13,2013-01-18 14:13,complete,false,true
0,0,2013-01-18 09:21,2013-01-18 14:21,complete,false,true
0,0,2013-01-18 10:44,2013-01-18 15:43,complete,false,false
0,0,2013-01-18 10:44,2013-01-18 15:43,complete,false,false
0,0,2013-01-18 13:35,2013-01-18 19:00,complete,false,false
0,0,2013-01-18 22:06,2013-01-24 13:20,complete,false,false
0,0,2013-01-21 12:36,2013-01-24 22:00,complete,false,true
0,0,2013-01-21 12:41,2013-01-21 23:00,complete,false,false
0,0,2013-01-21 19:43,2013-01-22 11:45,complete,false,false
0,0,2013-01-21 21:52,2013-01-22 11:45,cancelled,false,false
0,0,2013-01-21 21:55,2013-01-22 18:15,complete,false,false
0,0,2013-01-22 00:42,2013-01-22 05:43,complete,false,false
0,0,2013-01-22 18:45,2013-01-22 23:55,complete,false,false
0,0,2013-01-22 22:30,2013-01-23 12:45,complete,false,false
0,0,2013-01-23 08:41,2013-01-24 09:45,complete,false,false
0,0,2013-01-23 10:19,2013-01-23 18:15,complete,false,false
0,0,2013-01-23 11:37,2013-01-23 17:50,complete,false,false
0,0,2013-01-23 11:42,2013-01-24 19:50,complete,false,false
0,0,2013-01-23 11:45,2013-01-24 20:50,complete,false,false
0,0,2013-01-23 16:38,2013-01-23 21:38,cancelled,false,true
0,0,2013-01-23 17:04,2013-01-23 22:05,complete,false,false
0,0,2013-01-23 20:42,2013-01-24 01:42,cancelled,false,true
0,0,2013-01-23 21:18,2013-01-24 09:45,complete,false,false
0,0,2013-01-23 21:36,2013-01-24 02:36,complete,false,true
0,0,2013-01-23 23:42,2013-01-23 10:00,cancelled,false,false
0,0,2013-01-23 23:44,2013-01-24 10:00,complete,false,false
0,0,2013-01-23 21:55,2013-01-24 19:15,complete,false,false
0,0,2013-01-24 14:24,2013-01-24 19:24,complete,true,true
0,0,2013-01-24 16:06,2013-01-24 21:06,cancelled,true,true
0,0,2013-01-24 16:12,2013-01-24 21:12,complete,true,true
0,0,2013-01-24 17:11,2013-01-24 22:11,complete,true,true
0,0,2013-01-24 19:15,2013-01-25 00:15,complete,false,false
0,0,2013-01-24 23:31,2013-01-25 04:32,complete,false,false
0,0,2013-01-25 03:02,2013-01-25 08:02,complete,false,false
0,0,2013-01-25 03:12,2013-01-25 08:13,complete,false,false
0,0,2012-12-20 19:57,2012-12-22 02:00,complete,false,false
0,0,2013-01-25 10:59,2013-01-26 10:00,cancelled,false,true
0,0,2013-01-25 13:50,2013-01-25 18:50,complete,true,true
0,0,2013-01-25 14:36,2013-01-25 21:50,cancelled,false,false
0,0,2013-01-25 17:45,2013-01-25 22:46,complete,false,false
0,0,2013-01-25 19:24,2013-01-26 00:45,complete,false,false
0,0,2013-01-21 10:07,2013-01-26 11:00,cancelled,false,true
0,0,2013-01-21 14:42,2013-01-26 19:45,cancelled,false,true
0,0,2013-01-26 14:46,2013-10-31 18:47,cancelled,false,true
0,0,2013-01-26 23:48,2013-01-27 04:47,complete,false,false
0,0,2013-01-27 08:07,2013-01-27 13:08,complete,false,false
0,0,2013-01-27 08:44,2013-01-27 13:45,complete,false,false
0,0,2013-01-27 16:46,2013-02-08 09:00,cancelled,false,false
0,0,2013-01-28 00:06,2013-01-28 05:07,complete,false,false
0,0,2013-01-27 22:38,2013-01-28 10:00,complete,false,false
0,0,2013-01-28 06:59,2013-01-28 12:45,complete,false,false
0,0,2013-01-28 11:16,2013-01-28 16:16,complete,false,false
0,0,2013-01-29 06:48,2013-01-29 11:49,complete,false,false
0,0,2013-01-29 08:25,2013-01-30 14:15,complete,false,false
0,0,2013-01-29 15:52,2013-01-30 20:53,cancelled,false,true
0,0,2013-01-30 05:06,2013-01-30 10:07,complete,false,false
0,0,2013-01-29 20:40,2013-01-30 12:45,complete,false,false
0,0,2013-01-30 16:28,2013-01-30 21:55,complete,false,false
0,0,2013-01-30 22:24,2013-01-31 03:25,complete,false,false
0,0,2013-01-30 22:13,2013-01-31 11:00,complete,false,false
0,0,2013-01-31 08:00,2013-01-31 13:00,cancelled,false,false
0,0,2013-01-31 11:31,2013-01-31 16:31,complete,false,false
0,0,2013-01-31 13:07,2013-01-31 18:07,complete,true,true
0,0,2013-01-31 17:17,2013-01-31 22:16,complete,false,false
0,0,2013-01-31 17:51,2013-01-31 23:10,complete,false,false
0,0,2013-01-31 18:19,2013-01-31 23:18,cancelled,false,false
0,0,2013-01-31 20:25,2013-02-01 01:40,complete,false,false
0,0,2013-01-31 22:54,2013-02-01 03:55,complete,false,false
0,0,2013-02-01 02:59,2013-02-01 08:00,complete,false,false
0,0,2013-02-01 14:55,2013-02-01 19:55,cancelled,true,true
0,0,2013-02-01 16:00,2013-02-01 21:00,cancelled,true,true
0,0,2013-02-01 17:16,2013-02-01 22:16,complete,true,true
0,0,2013-02-01 16:37,2013-02-01 21:37,complete,false,false
0,0,2013-02-01 18:09,2013-02-01 23:09,complete,true,true
0,0,2013-02-01 20:58,2013-02-02 01:57,cancelled,false,false
0,0,2013-02-01 21:24,2013-02-02 02:25,complete,false,false
0,0,2013-02-02 14:31,2013-02-03 19:32,cancelled,false,false
0,0,2013-02-02 19:13,2013-02-03 00:25,complete,false,false
0,0,2013-02-03 01:43,2013-02-03 06:45,cancelled,false,false
0,0,2013-02-03 04:45,2013-02-03 09:46,complete,false,false
0,0,2013-02-04 01:13,2013-02-04 06:14,complete,false,false
0,0,2013-02-04 09:27,2013-02-04 17:00,cancelled,false,false
0,0,2013-02-04 13:25,2013-02-04 18:26,complete,false,false
0,0,2013-02-07 23:37,2013-02-08 10:30,complete,false,false
43.64656,-79.385296,2013-02-21 08:32,2013-02-21 13:32,cancelled,true,true
43.722024,-79.285245,2013-02-25 11:08,2013-02-25 16:07,complete,true,false
43.645813,-79.393066,2013-02-04 15:45,2013-02-04 20:45,complete,true,true
43.646606,-79.407133,2013-02-04 17:46,2013-02-04 22:46,complete,true,true
43.654491,-79.368582,2013-02-05 08:15,2013-02-05 13:15,cancelled,true,true
43.7194837,-79.4146736,2013-02-05 11:14,2013-02-05 16:20,complete,false,false
0,0,2013-02-05 17:41,2013-02-05 22:40,complete,false,false
43.6764639,-79.3360573,2013-02-05 19:13,2013-02-06 11:30,cancelled,false,false
43.732326,-79.3935673,2013-02-05 21:57,2013-02-06 11:45,cancelled,false,false
43.732326,-79.3935673,2013-02-05 22:01,2013-02-06 11:45,complete,false,false
43.7089278,-79.4086521,2013-02-05 20:34,2013-02-06 10:40,complete,false,false
43.6857177,-79.4128054,2013-02-05 23:25,2013-02-06 11:00,complete,false,false
0,0,2013-02-02 12:03,2013-02-06 18:00,complete,false,false
43.6846683,-79.3924782,2013-02-06 17:35,2013-02-06 22:36,complete,false,false
43.6469121,-79.374068,2013-02-06 17:32,2013-02-06 22:32,complete,false,false
43.6546354,-79.3685859,2013-02-07 11:26,2013-02-08 11:45,complete,false,false
43.6846683,-79.3924782,2013-02-07 13:41,2013-02-07 18:41,complete,false,false
0,0,2013-02-07 14:20,2013-02-07 23:00,complete,false,false
43.7038795,-79.4114196,2013-02-07 14:59,2013-02-08 23:40,cancelled,false,false
43.6559669,-79.379467,2013-02-07 15:07,2013-02-07 20:06,complete,false,false
43.6598742,-79.3790607,2013-02-07 15:53,2013-02-07 21:30,complete,false,false
43.648053,-79.377259,2013-02-07 17:18,2013-02-07 22:18,complete,true,true
43.647969,-79.377281,2013-02-07 17:32,2013-02-07 22:32,cancelled,true,true
43.648066,-79.377222,2013-02-07 17:22,2013-02-07 22:22,complete,true,true
43.6782183,-79.3014197,2013-02-07 17:58,2013-02-07 22:57,complete,false,false
43.7115951,-79.3275611,2013-02-07 18:19,2013-02-07 23:19,complete,false,false
43.7062818,-79.342878,2013-02-07 19:51,2013-02-08 14:00,complete,false,false
0,0,2013-02-08 08:46,2013-02-08 14:25,complete,false,false
43.7651528,-79.4122785,2013-02-08 10:59,2013-02-08 18:30,cancelled,false,false
0,0,2013-02-08 14:57,2013-02-08 21:00,cancelled,false,false
43.6597145,-79.3804382,2013-02-08 16:35,2013-02-08 21:35,cancelled,false,false
43.7152695,-79.4100963,2013-02-08 16:37,2013-02-08 22:15,cancelled,false,false
43.693818,-79.4113385,2013-02-08 17:02,2013-02-09 04:00,complete,false,false
0,0,2013-02-08 17:05,2013-02-08 22:05,cancelled,false,false
43.6618352,-79.4348541,2013-02-08 17:09,2013-02-08 22:07,cancelled,false,false
43.6688999,-79.4047147,2013-02-08 17:13,2013-02-08 23:30,complete,false,false
43.7097755,-79.4047873,2013-02-08 17:20,2013-02-08 23:00,cancelled,false,false
43.6822608,-79.3900835,2013-02-08 17:27,2013-02-09 00:10,cancelled,false,false
43.63226,-79.421503,2013-02-08 17:34,2013-02-08 22:33,cancelled,false,false
43.8729684,-79.2849508,2013-02-08 17:39,2013-02-08 23:15,cancelled,false,false
0,0,2013-02-08 17:48,2013-02-08 23:10,cancelled,false,false
43.6722709,-79.4073513,2013-02-08 18:20,2013-02-08 23:50,complete,false,false
43.6425429,-79.3925339,2013-02-08 18:41,2013-02-09 00:15,complete,false,false
43.6862966,-79.4132488,2013-02-08 19:03,2013-02-09 00:03,cancelled,false,false
43.7293443,-79.5919906,2013-02-08 18:41,2013-02-08 23:42,complete,false,false
43.6862966,-79.4132488,2013-02-08 19:09,2013-02-09 00:10,cancelled,false,false
43.6611933,-79.3427725,2013-02-08 19:09,2013-02-09 00:10,cancelled,false,false
43.6934409,-79.3115146,2013-02-08 19:44,2013-02-09 00:44,complete,false,false
43.6404137,-79.3832253,2013-02-08 20:36,2013-02-09 02:00,complete,false,false
43.6934409,-79.3115146,2013-02-08 19:42,2013-02-09 00:43,complete,false,false
43.6761388,-79.5059232,2013-02-08 21:08,2013-02-09 09:15,cancelled,false,false
43.644684,-79.376366,2013-02-08 21:12,2013-02-09 02:13,complete,false,false
43.6885993,-79.3476048,2013-02-08 20:51,2013-02-09 01:52,complete,false,false
43.6593928,-79.3592236,2013-02-08 21:25,2013-02-09 02:25,cancelled,false,false
43.6551659,-79.3896325,2013-02-08 21:30,2013-02-09 02:30,complete,false,false
43.6586715,-79.4417482,2013-02-08 22:50,2013-02-09 10:00,complete,false,false
43.6600966,-79.3629825,2013-02-08 22:56,2013-02-09 04:30,cancelled,false,false
43.7153124,-79.4781124,2013-02-08 23:02,2013-02-09 10:10,complete,false,false
43.663492,-79.3781041,2013-02-09 00:03,2013-02-09 05:02,complete,false,false
43.653783,-79.4641449,2013-02-09 08:54,2013-02-09 14:35,complete,false,false
43.6542045,-79.5006246,2013-02-09 17:23,2013-02-09 22:45,cancelled,false,false
0,0,2013-02-09 17:45,2013-02-09 22:46,complete,false,false
43.6542045,-79.5006246,2013-02-09 17:29,2013-02-09 23:45,complete,false,false
43.6982059,-79.3919912,2013-02-09 20:10,2013-02-10 01:10,complete,false,false
43.6705519,-79.4181526,2013-02-10 01:50,2013-02-10 06:50,complete,false,false
43.74747,-79.452843,2013-02-10 02:39,2013-02-10 07:39,cancelled,false,false
0,0,2013-02-10 14:12,2013-02-10 23:00,complete,false,false
43.6793464,-79.3826686,2013-02-10 22:13,2013-02-11 12:00,complete,false,false
43.6384596,-79.4295919,2013-02-11 19:43,2013-02-12 10:00,complete,false,false
43.6778885,-79.3017433,2013-02-12 09:47,2013-02-12 15:30,complete,false,false
